TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:1005715766	AT5G67030	AT5G67030.2	protein_coding	Encodes a single copy zeaxanthin epoxidase gene that functions in first step of the biosynthesis of the abiotic stress hormone abscisic acid (ABA). Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.	ABA DEFICIENT 1; ABA1; ARABIDOPSIS THALIANA ABA DEFICIENT 1; ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE; ATABA1; ATZEP; IBS3; IMPAIRED IN BABA-INDUCED STERILITY 3; LOS6; LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6; NON-PHOTOCHEMICAL QUENCHING 2; NPQ2; ZEAXANTHIN EPOXIDASE; ZEP	 chloroplast, chloroplast envelope, FAD binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, abscisic acid biosynthetic process, carpel, cauline leaf, chloroplast, chloroplast envelope, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, membrane, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plastid, pollen, response to heat, response to osmotic stress, response to red light, response to water deprivation, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, sugar mediated signaling pathway, vascular leaf, vascular leaf senescent stage, xanthophyll biosynthetic process, zeaxanthin epoxidase [overall] activity	true
Gene:6530296151	AT1G13930	AT1G13930.2	protein_coding	Involved in response to salt stress.  Knockout mutants are hypersensitive to salt stress. The mRNA is cell-to-cell mobile.		 chloroplast, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chloroplast, chloroplast envelope, chloroplast stroma, collective leaf structure, cotyledon, cultured plant cell, cytosol, epidermis, extracellular region, flower, flower pedicel, flowering stage, fruit, guard cell, hypocotyl, inflorescence meristem, juvenile vascular leaf, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein binding, regulation of abscisic acid biosynthetic process, response to cadmium ion, response to heat, response to salt stress, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532545415	AT3G09440	AT3G09440.3	protein_coding	Heat shock protein 70 (Hsp 70) family protein;(source:Araport11)		 chloroplast, ATP binding, ATPase activity, Golgi apparatus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, apoplast, carpel, cauline leaf, cell wall, cellular response to unfolded protein, chaperone cofactor-dependent protein refolding, chloroplast, collective leaf structure, cotyledon, cultured plant cell, cytoplasm, cytosol, cytosolic ribosome, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, misfolded protein binding, nuclear matrix, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, plasmodesma, pollen, pollen tube cell, protease binding, protein binding, protein folding, protein folding chaperone, protein refolding, response to cadmium ion, response to heat, response to karrikin, response to unfolded protein, response to virus, root, rosette leaf, seed, seedling development stage, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuolar membrane, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:6532550455	AT1G16540	AT1G16540.2	protein_coding	Encodes molybdenum cofactor sulfurase. Involved in Moco biosynthesis. Involved in the conversion of ABA-aldehyde to ABA, the last step of abscisic acid (ABA) biosynthesis. <i>sir</i> loss-of-function mutants are resistant to sirtinol, a modulator of auxin signaling.N terminal domain is similar to bacterial NifS suggesting a common mechanism for sulphur mobilization and transfer.  Also involved in protein import into chloroplasts.		 cytoplasm, Mo-molybdopterin cofactor sulfurase activity, abscisic acid biosynthetic process, auxin-activated signaling pathway, carpel, collective leaf structure, cytoplasm, defense response to bacterium, flower, flower pedicel, flowering stage, guard cell, inflorescence meristem, mature plant embryo stage, molybdenum cofactor sulfurtransferase activity, molybdenum incorporation into molybdenum-molybdopterin complex, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein import into chloroplast stroma, response to cold, response to heat, response to osmotic stress, response to salt stress, root, seed, selenocysteine lyase activity, sepal, stamen, stem, stomatal movement, sugar mediated signaling pathway	true
Gene:2041257	AT2G22360	AT2G22360.1	protein_coding	DNAJ heat shock family protein;(source:Araport11)	DJA6; DNA J PROTEIN A6	 chloroplast, cytoplasm, chloroplast thylakoid membrane, chloroplast envelope, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, pollen, protein refolding, response to heat, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vacuole, vascular leaf, vascular leaf senescent stage	true
Gene:2140034	AT4G39960	AT4G39960.1	protein_coding	Molecular chaperone Hsp40/DnaJ family protein;(source:Araport11)	DJA5; DNA J PROTEIN A5	 chloroplast, chloroplast thylakoid membrane, chloroplast envelope, ATP binding, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, carpel, cauline leaf, cell-to-cell mobile RNA, chaperone cofactor-dependent protein refolding, chloroplast, chloroplast envelope, chloroplast thylakoid membrane, collective leaf structure, cotyledon, cytoplasm, flower, flower pedicel, flowering stage, guard cell, heat shock protein binding, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plasma membrane, pollen, protein refolding, response to heat, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, unfolded protein binding, vascular leaf, vascular leaf senescent stage	true
Gene:1005714673	AT3G08720	AT3G08720.2	protein_coding	Encodes a ribosomal-protein S6 kinase. Gene expression is induced by cold and salt (NaCl).  Activation of AtS6k is regulated by 1-naphthylacetic acid and kinetin, at least in part, via a lipid kinase-dependent pathway. Phosphorylates specifically mammalian and plant S6 at 25 degrees C but not at 37 degrees C. Involved in translational up-regulation of ribosomal proteins.	ARABIDOPSIS THALIANA PROTEIN KINASE 19; ARABIDOPSIS THALIANA PROTEIN KINASE 2; ARABIDOPSIS THALIANA SERINE/THREONINE PROTEIN KINASE 2; ATPK19; ATPK2; ATS6K2; S6K2; SERINE/THREONINE PROTEIN KINASE 2	 L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, carpel, cauline leaf, cellular response to hypoxia, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, kinase activity, leaf apex, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, positive regulation of translation, protein binding, protein kinase activity, protein phosphorylation, response to cold, response to heat, response to salt stress, root, seed, sepal, shoot apex, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:5019474219	AT3G09350	AT3G09350.3	protein_coding	Encodes one of the Arabidopsis orthologs of the human Hsp70-binding protein 1 (HspBP-1) and yeast Fes1p: Fes1A (AT3G09350), Fes1B (AT3G53800), Fes1C (AT5G02150). Fes1A is cytosolic and associates with cytosolic Hsp70.  Mutants showed increased heat-sensitive phenotype suggestion the involvement of Fes1A in acquired thermotolerance.  Does not have nucleotide exchange factor activity in vitro.	FES1A	 cytoplasm, Hsp70 protein binding, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, adenyl-nucleotide exchange factor activity, carpel, cauline leaf, collective leaf structure, cotyledon, cytoplasm, cytosol, endoplasmic reticulum, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, response to heat, response to salt stress, root, rosette leaf, seed, sepal, shoot apex, shoot system, stamen, stem, vascular leaf, vascular leaf senescent stage	true
Gene:6532546313	AT5G45710	AT5G45710.4	protein_coding	member of Heat Stress Transcription Factor (Hsf) family		 nucleus, DNA-binding transcription factor activity, L mature pollen stage, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, M germinated pollen stage, RNA polymerase II cis-regulatory region sequence-specific DNA binding, carpel, cauline leaf, cellular response to heat, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, fruit morphogenesis, guard cell, host cell nucleus, hypocotyl, inflorescence meristem, lateral root development, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, positive gravitropism, positive regulation of transcription from RNA polymerase II promoter in response to heat stress, regulation of transcription from RNA polymerase II promoter in response to stress, response to auxin, response to heat, root, root development, seed, sepal, sequence-specific DNA binding, shoot apex, shoot system, stamen, stem, transcription regulatory region DNA binding, vascular leaf, vascular leaf senescent stage	true
Gene:6532559860	AT5G41340	AT5G41340.2	protein_coding	Belongs to Ubiquitin conjugating enzyme family. Gene expression is developmentally regulated.		 nucleus, LP.02 two leaves visible stage, LP.04 four leaves visible stage, LP.06 six leaves visible stage, LP.08 eight leaves visible stage, LP.10 ten leaves visible stage, LP.12 twelve leaves visible stage, NOT cytosol, NOT response to heat, carpel, cauline leaf, collective leaf structure, cotyledon, flower, flower pedicel, flowering stage, guard cell, hypocotyl, inflorescence meristem, leaf apex, leaf lamina base, mature plant embryo stage, nucleus, petal, petal differentiation and expansion stage, petiole, plant embryo, plant embryo bilateral stage, plant embryo cotyledonary stage, plant embryo globular stage, plant sperm cell, pollen, pollen tube cell, portion of vascular tissue, protein ubiquitination, root, seed, sepal, shoot apex, shoot system, stamen, stem, ubiquitin conjugating enzyme activity, ubiquitin-dependent protein catabolic process, ubiquitin-protein transferase activity, vascular leaf, vascular leaf senescent stage	true
